x,y,LOCAL_YEAR,LOCAL_MONTH,STATION_NAME,DIRECTION_MAX_GUST,MEAN_TEMPERATURE_FLAG,DIRECTION_MAX_GUST_FLAG,COOLING_DEGREE_DAYS,MAX_REL_HUMIDITY_FLAG,TOTAL_RAIN_FLAG,TOTAL_PRECIPITATION,LOCAL_DAY,MIN_TEMPERATURE_FLAG,COOLING_DEGREE_DAYS_FLAG,SPEED_MAX_GUST,HEATING_DEGREE_DAYS,SPEED_MAX_GUST_FLAG,ID,TOTAL_SNOW,MAX_TEMPERATURE,TOTAL_PRECIPITATION_FLAG,TOTAL_SNOW_FLAG,PROVINCE_CODE,SNOW_ON_GROUND_FLAG,HEATING_DEGREE_DAYS_FLAG,MIN_REL_HUMIDITY,MAX_REL_HUMIDITY,CLIMATE_IDENTIFIER,MAX_TEMPERATURE_FLAG,LOCAL_DATE,MIN_REL_HUMIDITY_FLAG,SNOW_ON_GROUND,MIN_TEMPERATURE,TOTAL_RAIN,MEAN_TEMPERATURE
-71.38166666666666,46.80361111111111,2020,2,QUEBEC/JEAN LESAGE INTL,33,,,0,,,0,14,,,33,42.1,,701S001.2020.2.14,,-16.5,,,QC,,,46,79,701S001,,2020-02-14 00:00:00,,67,-31.7,,-24.1
-71.38166666666666,46.80361111111111,2020,2,QUEBEC/JEAN LESAGE INTL,,,,0,,,0,15,,,,39.2,,701S001.2020.2.15,,-9.6,,,QC,,,59,87,701S001,,2020-02-15 00:00:00,,67,-32.8,,-21.2
-71.38166666666666,46.80361111111111,2020,2,QUEBEC/JEAN LESAGE INTL,25,,,0,,,4.9,16,,,35,23.6,,701S001.2020.2.16,,0.5,,,QC,,,70,92,701S001,,2020-02-16 00:00:00,,71,-11.7,,-5.6
-71.38166666666666,46.80361111111111,2020,2,QUEBEC/JEAN LESAGE INTL,31,,,0,,,0,17,,,31,33.8,,701S001.2020.2.17,,-3.1,,,QC,,,42,82,701S001,,2020-02-17 00:00:00,,72,-28.6,,-15.8
-71.38166666666666,46.80361111111111,2020,2,QUEBEC/JEAN LESAGE INTL,21,,,0,,,9.2,18,,,45,30.8,,701S001.2020.2.18,,2.7,,,QC,,,51,95,701S001,,2020-02-18 00:00:00,,70,-28.3,,-12.8
-71.38166666666666,46.80361111111111,2020,2,QUEBEC/JEAN LESAGE INTL,26,,,0,,,0.6,19,,,66,27.5,,701S001.2020.2.19,,2.6,,,QC,,,43,84,701S001,,2020-02-19 00:00:00,,76,-21.7,,-9.5
-71.38166666666666,46.80361111111111,2020,2,QUEBEC/JEAN LESAGE INTL,27,,,0,,,0,20,,,41,39.4,,701S001.2020.2.20,,-14,,,QC,,,44,80,701S001,,2020-02-20 00:00:00,,75,-28.9,,-21.4
-71.38166666666666,46.80361111111111,2020,2,QUEBEC/JEAN LESAGE INTL,,,,0,,,0,21,,,,38,,701S001.2020.2.21,,-5.1,,,QC,,,53,90,701S001,,2020-02-21 00:00:00,,74,-34.8,,-20
-71.38166666666666,46.80361111111111,2020,2,QUEBEC/JEAN LESAGE INTL,24,,,0,,,0.2,22,,,44,23.7,,701S001.2020.2.22,,0.4,,,QC,,,58,94,701S001,,2020-02-22 00:00:00,,73,-11.8,,-5.7
-71.38166666666666,46.80361111111111,2020,2,QUEBEC/JEAN LESAGE INTL,,,,0,,,0,23,,,,22.2,,701S001.2020.2.23,,4.3,,,QC,,,59,93,701S001,,2020-02-23 00:00:00,,72,-12.7,,-4.2
-71.38166666666666,46.80361111111111,2020,2,QUEBEC/JEAN LESAGE INTL,25,,,0,,,0,24,,,35,19.6,,701S001.2020.2.24,,7.1,,,QC,,,44,95,701S001,,2020-02-24 00:00:00,,70,-10.3,,-1.6
-71.38166666666666,46.80361111111111,2020,2,QUEBEC/JEAN LESAGE INTL,,,,0,,,0,25,,,,21.2,,701S001.2020.2.25,,4.9,,,QC,,,54,95,701S001,,2020-02-25 00:00:00,,66,-11.3,,-3.2
-71.38166666666666,46.80361111111111,2020,2,QUEBEC/JEAN LESAGE INTL,8,,,0,,,0,26,,,49,22.1,,701S001.2020.2.26,,0.9,,,QC,,,58,81,701S001,,2020-02-26 00:00:00,,65,-9.2,,-4.1
-71.38166666666666,46.80361111111111,2020,2,QUEBEC/JEAN LESAGE INTL,9,,,0,,,12.5,27,,,81,21.5,,701S001.2020.2.27,,0.4,,,QC,,,65,97,701S001,,2020-02-27 00:00:00,,65,-7.3,,-3.5
-71.38166666666666,46.80361111111111,2020,2,QUEBEC/JEAN LESAGE INTL,22,,,0,,,0.6,28,,,41,30.5,,701S001.2020.2.28,,-7.3,,,QC,,,61,88,701S001,,2020-02-28 00:00:00,,76,-17.7,,-12.5
-71.38166666666666,46.80361111111111,2020,2,QUEBEC/JEAN LESAGE INTL,,,,0,,,0,29,,,,32.2,,701S001.2020.2.29,,-8.1,,,QC,,,59,87,701S001,,2020-02-29 00:00:00,,73,-20.4,,-14.2
-71.38166666666666,46.80361111111111,2020,3,QUEBEC/JEAN LESAGE INTL,23,,,0,,,0,1,,,31,30.1,,701S001.2020.3.1,,-4.1,,,QC,,,56,90,701S001,,2020-03-01 00:00:00,,72,-20.1,,-12.1
-71.38166666666666,46.80361111111111,2020,3,QUEBEC/JEAN LESAGE INTL,,,,0,,,6.4,2,,,,29.6,,701S001.2020.3.2,,-1.2,,,QC,,,60,97,701S001,,2020-03-02 00:00:00,,71,-22,,-11.6
-71.38166666666666,46.80361111111111,2020,3,QUEBEC/JEAN LESAGE INTL,,,,0,,,4.4,3,,,,16.5,,701S001.2020.3.3,,5.5,,,QC,,,68,98,701S001,,2020-03-03 00:00:00,,74,-2.6,,1.5
-71.38166666666666,46.80361111111111,2020,3,QUEBEC/JEAN LESAGE INTL,26,,,0,,,11.9,4,,,55,18.1,,701S001.2020.3.4,,2.2,,,QC,,,66,98,701S001,,2020-03-04 00:00:00,,69,-2.4,,-0.1
-71.38166666666666,46.80361111111111,2020,3,QUEBEC/JEAN LESAGE INTL,28,,,0,,,0,5,,,34,20.2,,701S001.2020.3.5,,2.2,,,QC,,,39,80,701S001,,2020-03-05 00:00:00,,68,-6.7,,-2.2
-71.38166666666666,46.80361111111111,2020,3,QUEBEC/JEAN LESAGE INTL,7,,,0,,,0,6,,,34,22.8,,701S001.2020.3.6,,-1.1,,,QC,,,55,71,701S001,,2020-03-06 00:00:00,,67,-8.4,,-4.8
-71.38166666666666,46.80361111111111,2020,3,QUEBEC/JEAN LESAGE INTL,,,,0,,,0,7,,,,26.8,,701S001.2020.3.7,,-1.4,,,QC,,,39,67,701S001,,2020-03-07 00:00:00,,66,-16.2,,-8.8
-71.38166666666666,46.80361111111111,2020,3,QUEBEC/JEAN LESAGE INTL,23,,,0,,,0,8,,,35,19.3,,701S001.2020.3.8,,4.3,,,QC,,,41,80,701S001,,2020-03-08 00:00:00,,67,-7,,-1.3
-71.38166666666666,46.80361111111111,2020,3,QUEBEC/JEAN LESAGE INTL,,,M,0,,,5,9,,,,21.2,M,701S001.2020.3.9,,0.6,,,QC,,,67,89,701S001,,2020-03-09 00:00:00,,65,-6.9,,-3.2
-71.38166666666666,46.80361111111111,2020,3,QUEBEC/JEAN LESAGE INTL,,,M,0,,,17.1,10,,,,21.2,M,701S001.2020.3.10,,-0.6,,,QC,,,76,95,701S001,,2020-03-10 00:00:00,,73,-5.8,,-3.2
-71.38166666666666,46.80361111111111,2020,3,QUEBEC/JEAN LESAGE INTL,,,M,0,,,0,11,,,,24.3,M,701S001.2020.3.11,,-1.3,,,QC,,,60,84,701S001,,2020-03-11 00:00:00,,70,-11.3,,-6.3
-71.38166666666666,46.80361111111111,2020,3,QUEBEC/JEAN LESAGE INTL,,,M,0,,,0.5,12,,,,25.1,M,701S001.2020.3.12,,-2.3,,,QC,,,60,80,701S001,,2020-03-12 00:00:00,,70,-12,,-7.1
-71.38166666666666,46.80361111111111,2020,3,QUEBEC/JEAN LESAGE INTL,,,M,0,,,37.2,13,,,,16.6,M,701S001.2020.3.13,,5.1,,,QC,,,67,97,701S001,,2020-03-13 00:00:00,,69,-2.3,,1.4
-71.38166666666666,46.80361111111111,2020,3,QUEBEC/JEAN LESAGE INTL,28,,,0,,,0,14,,,74,21,,701S001.2020.3.14,,2.6,,,QC,,,49,91,701S001,,2020-03-14 00:00:00,,72,-8.5,,-3
-71.38166666666666,46.80361111111111,2020,3,QUEBEC/JEAN LESAGE INTL,31,,,0,,,0,15,,,32,24.9,,701S001.2020.3.15,,-1.9,,,QC,,,32,70,701S001,,2020-03-15 00:00:00,,72,-11.8,,-6.9
-71.38166666666666,46.80361111111111,2020,3,QUEBEC/JEAN LESAGE INTL,,,M,0,,,0,16,,,,27.3,M,701S001.2020.3.16,,-3.1,,,QC,,,37,73,701S001,,2020-03-16 00:00:00,,71,-15.4,,-9.3
-71.38166666666666,46.80361111111111,2020,3,QUEBEC/JEAN LESAGE INTL,27,,,0,,,19,17,,,54,19.9,,701S001.2020.3.17,,2.7,,,QC,,,58,93,701S001,,2020-03-17 00:00:00,,71,-6.4,,-1.9
-71.38166666666666,46.80361111111111,2020,3,QUEBEC/JEAN LESAGE INTL,28,,,0,,,0,18,,,38,23.4,,701S001.2020.3.18,,-0.8,,,QC,,,43,80,701S001,,2020-03-18 00:00:00,,85,-10,,-5.4
-71.38166666666666,46.80361111111111,2020,3,QUEBEC/JEAN LESAGE INTL,5,,,0,,,0,19,,,36,18.7,,701S001.2020.3.19,,3.3,,,QC,,,50,84,701S001,,2020-03-19 00:00:00,,84,-4.7,,-0.7
-71.38166666666666,46.80361111111111,2020,3,QUEBEC/JEAN LESAGE INTL,30,,,0,,,15,20,,,56,16.2,,701S001.2020.3.20,,6.5,,,QC,,,61,98,701S001,,2020-03-20 00:00:00,,81,-3,,1.8
-71.38166666666666,46.80361111111111,2020,3,QUEBEC/JEAN LESAGE INTL,27,,,0,,,0,21,,,43,26.5,,701S001.2020.3.21,,-2.8,,,QC,,,36,66,701S001,,2020-03-21 00:00:00,,71,-14.2,,-8.5
-71.38166666666666,46.80361111111111,2020,3,QUEBEC/JEAN LESAGE INTL,,,,0,,,0,22,,,,29.6,,701S001.2020.3.22,,-3.8,,,QC,,,37,83,701S001,,2020-03-22 00:00:00,,70,-19.5,,-11.6
-71.38166666666666,46.80361111111111,2020,3,QUEBEC/JEAN LESAGE INTL,,,,0,,,1.3,23,,,,24.8,,701S001.2020.3.23,,1.3,,,QC,,,43,95,701S001,,2020-03-23 00:00:00,,70,-14.8,,-6.8
-71.38166666666666,46.80361111111111,2020,3,QUEBEC/JEAN LESAGE INTL,,,,0,,,0,24,,,,18.7,,701S001.2020.3.24,,5.8,,,QC,,,42,95,701S001,,2020-03-24 00:00:00,,69,-7.2,,-0.7
-71.38166666666666,46.80361111111111,2020,3,QUEBEC/JEAN LESAGE INTL,,,,0,,,0,25,,,,18.5,,701S001.2020.3.25,,6.4,,,QC,,,43,90,701S001,,2020-03-25 00:00:00,,69,-7.3,,-0.5
-71.38166666666666,46.80361111111111,2020,3,QUEBEC/JEAN LESAGE INTL,,,,0,,,7.4,26,,,,17.5,,701S001.2020.3.26,,6.8,,,QC,,,48,94,701S001,,2020-03-26 00:00:00,,68,-5.7,,0.5
-71.38166666666666,46.80361111111111,2020,3,QUEBEC/JEAN LESAGE INTL,,,,0,,,3.5,27,,,,16.5,,701S001.2020.3.27,,5.3,,,QC,,,56,97,701S001,,2020-03-27 00:00:00,,65,-2.3,,1.5
-71.38166666666666,46.80361111111111,2020,3,QUEBEC/JEAN LESAGE INTL,,,,0,,,0,28,,,,18.2,,701S001.2020.3.28,,6.8,,,QC,,,26,74,701S001,,2020-03-28 00:00:00,,63,-7.1,,-0.2
-71.38166666666666,46.80361111111111,2020,3,QUEBEC/JEAN LESAGE INTL,,,M,0,,,25.2,29,,,,17,M,701S001.2020.3.29,,4.8,,,QC,,,51,98,701S001,,2020-03-29 00:00:00,,61,-2.9,,1
-71.38166666666666,46.80361111111111,2020,3,QUEBEC/JEAN LESAGE INTL,7,,,0,,,8.5,30,,,51,17.3,,701S001.2020.3.30,,1.2,,,QC,,,73,97,701S001,,2020-03-30 00:00:00,,68,0.3,,0.7
-71.38166666666666,46.80361111111111,2020,3,QUEBEC/JEAN LESAGE INTL,6,,,0,,,0,31,,,43,15.9,,701S001.2020.3.31,,5.1,,,QC,,,36,75,701S001,,2020-03-31 00:00:00,,66,-0.8,,2.1
-71.38166666666666,46.80361111111111,2020,4,QUEBEC/JEAN LESAGE INTL,7,,,0,,,0.2,1,,,35,16.4,,701S001.2020.4.1,,2.8,,,QC,,,77,93,701S001,,2020-04-01 00:00:00,,64,0.3,,1.6
-71.38166666666666,46.80361111111111,2020,4,QUEBEC/JEAN LESAGE INTL,5,,,0,,,18.9,2,,,36,14.8,,701S001.2020.4.2,,6,,,QC,,,84,97,701S001,,2020-04-02 00:00:00,,61,0.3,,3.2
-71.38166666666666,46.80361111111111,2020,4,QUEBEC/JEAN LESAGE INTL,5,,,0,,,0,3,,,63,13.5,,701S001.2020.4.3,,8,,,QC,,,63,90,701S001,,2020-04-03 00:00:00,,55,1,,4.5
-71.38166666666666,46.80361111111111,2020,4,QUEBEC/JEAN LESAGE INTL,,,,0,,,0,4,,,,14.2,,701S001.2020.4.4,,9,,,QC,,,53,93,701S001,,2020-04-04 00:00:00,,44,-1.3,,3.8
-71.38166666666666,46.80361111111111,2020,4,QUEBEC/JEAN LESAGE INTL,32,,,0,,,0.7,5,,,31,14.4,,701S001.2020.4.5,,7.9,,,QC,,,60,95,701S001,,2020-04-05 00:00:00,,38,-0.8,,3.6
-71.38166666666666,46.80361111111111,2020,4,QUEBEC/JEAN LESAGE INTL,28,,,0,,,0,6,,,58,15.5,,701S001.2020.4.6,,8.2,,,QC,,,35,74,701S001,,2020-04-06 00:00:00,,36,-3.2,,2.5
-71.38166666666666,46.80361111111111,2020,4,QUEBEC/JEAN LESAGE INTL,,,,0,,,0,7,,,,17.9,,701S001.2020.4.7,,5.5,,,QC,,,43,85,701S001,,2020-04-07 00:00:00,,32,-5.2,,0.1
